cement,ggbs,fly_ash,silica_fume,fine_aggregate,natural_coarse_aggregate,recycled_coarse_aggregate,rca_replacement_percent,aggregate_type,water,superplasticizer,water_cement_ratio,fiber_type,steel_fiber_percent,pp_fiber_percent,fiber_content_percent,curing_age_days,specimen_type,compressive_strength_MPa,mix_id,data_notes,source_paper
520,,,,860,886,0,0,,156,1.0,0.3,none,0,0,0,7,cube,71.2,,,Afroughsabet_2015
520,,,,860,886,0,0,,156,1.0,0.3,none,0,0,0,28,cube,82.6,,,Afroughsabet_2015
520,,,,860,886,0,0,,156,1.0,0.3,none,0,0,0,91,cube,88.3,,,Afroughsabet_2015
468,,52,,851,877,0,0,,156,1.0,0.3,none,0,0,0,7,cube,75.2,,,Afroughsabet_2015
468,,52,,851,877,0,0,,156,1.0,0.3,none,0,0,0,28,cube,88.8,,,Afroughsabet_2015
468,,52,,851,877,0,0,,156,1.0,0.3,none,0,0,0,91,cube,98.0,,,Afroughsabet_2015
468,,52,,849,875,0,0,,156,1.2,0.3,polypropylene,0,0.15,0.15,7,cube,74.9,,,Afroughsabet_2015
468,,52,,849,875,0,0,,156,1.2,0.3,polypropylene,0,0.15,0.15,28,cube,91.2,,,Afroughsabet_2015
468,,52,,849,875,0,0,,156,1.2,0.3,polypropylene,0,0.15,0.15,91,cube,98.6,,,Afroughsabet_2015
468,,52,,847,873,0,0,,156,1.3,0.3,polypropylene,0,0.3,0.3,7,cube,75.7,,,Afroughsabet_2015
468,,52,,847,873,0,0,,156,1.3,0.3,polypropylene,0,0.3,0.3,28,cube,91.5,,,Afroughsabet_2015
468,,52,,847,873,0,0,,156,1.3,0.3,polypropylene,0,0.3,0.3,91,cube,101.4,,,Afroughsabet_2015
468,,52,,845,871,0,0,,156,1.4,0.3,polypropylene,0,0.45,0.45,7,cube,77.1,,,Afroughsabet_2015
468,,52,,845,871,0,0,,156,1.4,0.3,polypropylene,0,0.45,0.45,28,cube,92.8,,,Afroughsabet_2015
468,,52,,845,871,0,0,,156,1.4,0.3,polypropylene,0,0.45,0.45,91,cube,100.3,,,Afroughsabet_2015
468,,52,,847,873,0,0,,156,1.1,0.3,steel,0.25,0,0.25,7,cube,76.1,,,Afroughsabet_2015
468,,52,,847,873,0,0,,156,1.1,0.3,steel,0.25,0,0.25,28,cube,92.3,,,Afroughsabet_2015
468,,52,,847,873,0,0,,156,1.1,0.3,steel,0.25,0,0.25,91,cube,98.5,,,Afroughsabet_2015
468,,52,,844,870,0,0,,156,1.1,0.3,steel,0.5,0,0.5,7,cube,77.4,,,Afroughsabet_2015
468,,52,,844,870,0,0,,156,1.1,0.3,steel,0.5,0,0.5,28,cube,93.8,,,Afroughsabet_2015
468,,52,,844,870,0,0,,156,1.1,0.3,steel,0.5,0,0.5,91,cube,102.0,,,Afroughsabet_2015
468,,52,,841,867,0,0,,156,1.2,0.3,steel,0.75,0,0.75,7,cube,78.3,,,Afroughsabet_2015
468,,52,,841,867,0,0,,156,1.2,0.3,steel,0.75,0,0.75,28,cube,95.0,,,Afroughsabet_2015
468,,52,,841,867,0,0,,156,1.2,0.3,steel,0.75,0,0.75,91,cube,102.6,,,Afroughsabet_2015
468,,52,,838,863,0,0,,156,1.2,0.3,steel,1.0,0,1.0,7,cube,79.9,,,Afroughsabet_2015
468,,52,,838,863,0,0,,156,1.2,0.3,steel,1.0,0,1.0,28,cube,98.7,,,Afroughsabet_2015
468,,52,,838,863,0,0,,156,1.2,0.3,steel,1.0,0,1.0,91,cube,104.3,,,Afroughsabet_2015
468,,52,,838,863,0,0,,156,1.2,0.3,hybrid steel+PP,0.85,0.15,1.0,7,cube,80.1,,,Afroughsabet_2015
468,,52,,838,863,0,0,,156,1.2,0.3,hybrid steel+PP,0.85,0.15,1.0,28,cube,97.5,,,Afroughsabet_2015
468,,52,,838,863,0,0,,156,1.2,0.3,hybrid steel+PP,0.85,0.15,1.0,91,cube,104.0,,,Afroughsabet_2015
468,,52,,838,863,0,0,,156,1.2,0.3,hybrid steel+PP,0.7,0.3,1.0,7,cube,81.4,,,Afroughsabet_2015
468,,52,,838,863,0,0,,156,1.2,0.3,hybrid steel+PP,0.7,0.3,1.0,28,cube,96.6,,,Afroughsabet_2015
468,,52,,838,863,0,0,,156,1.2,0.3,hybrid steel+PP,0.7,0.3,1.0,91,cube,103.2,,,Afroughsabet_2015
468,,52,,838,863,0,0,,156,1.2,0.3,hybrid steel+PP,0.55,0.45,1.0,7,cube,77.9,,,Afroughsabet_2015
468,,52,,838,863,0,0,,156,1.2,0.3,hybrid steel+PP,0.55,0.45,1.0,28,cube,95.3,,,Afroughsabet_2015
468,,52,,838,863,0,0,,156,1.2,0.3,hybrid steel+PP,0.55,0.45,1.0,91,cube,102.8,,,Afroughsabet_2015
703.984,,63.809,42.7915,848.605,0.0013,1278,~100,,,2.35363,0.637779,polypropylene,,,1.1267,28,cube-equivalent,115,,RSM-PREDICTED OPTIMUM - NOT an experimental measurement,Alkharisi_Dahish_2025
,,,,,,,41.275,,,,,polypropylene,,,3,65.57,,42.48,,RSM-PREDICTED OPTIMUM (CS-only objective) - NOT experimental,Dahish_Alkharisi_2025
,,,,,,,20.294,,,,,polypropylene,,,3,72.21,,44.80,,RSM-PREDICTED OPTIMUM (multi-objective CS+TS+UPV+WA) - NOT experimental,Dahish_Alkharisi_2025
407.0,0,,,658.02,1159.35,0,0,,175,0.6,0.43,polypropylene,,,0.0,7,cube,26.98,M1,chart_estimate,Jaglan_2025
407.0,0,,,658.02,1159.35,0,0,,175,0.6,0.43,polypropylene,,,0.0,28,cube,39.31,M1,chart_estimate,Jaglan_2025
407.0,0,,,658.02,1159.35,0,0,,175,0.6,0.43,polypropylene,,,0.0,56,cube,43.04,M1,chart_estimate,Jaglan_2025
407.0,0,,,658.02,1159.35,0,0,,175,0.6,0.43,polypropylene,,,0.0,90,cube,45.41,M1,chart_estimate,Jaglan_2025
356.13,50.88,,,653.79,1151.9,0,0,,175,0.6,0.43,polypropylene,,,0.25,7,cube,29.29,M2,chart_estimate,Jaglan_2025
356.13,50.88,,,653.79,1151.9,0,0,,175,0.6,0.43,polypropylene,,,0.25,28,cube,42.01,M2,chart_estimate,Jaglan_2025
356.13,50.88,,,653.79,1151.9,0,0,,175,0.6,0.43,polypropylene,,,0.25,56,cube,46.3,M2,chart_estimate,Jaglan_2025
356.13,50.88,,,653.79,1151.9,0,0,,175,0.6,0.43,polypropylene,,,0.25,90,cube,49.26,M2,chart_estimate,Jaglan_2025
305.25,101.75,,,649.56,1144.45,0,0,,175,0.6,0.43,polypropylene,,,0.5,7,cube,31.22,M3,chart_estimate,Jaglan_2025
305.25,101.75,,,649.56,1144.45,0,0,,175,0.6,0.43,polypropylene,,,0.5,28,cube,45.1,M3,chart_estimate,Jaglan_2025
305.25,101.75,,,649.56,1144.45,0,0,,175,0.6,0.43,polypropylene,,,0.5,56,cube,49.7,M3,chart_estimate,Jaglan_2025
305.25,101.75,,,649.56,1144.45,0,0,,175,0.6,0.43,polypropylene,,,0.5,90,cube,53.11,M3,chart_estimate,Jaglan_2025
254.38,152.63,,,645.34,1137.01,0,0,,175,0.6,0.43,polypropylene,,,0.75,7,cube,33.15,M4,chart_estimate,Jaglan_2025
254.38,152.63,,,645.34,1137.01,0,0,,175,0.6,0.43,polypropylene,,,0.75,28,cube,48.18,M4,chart_estimate,Jaglan_2025
254.38,152.63,,,645.34,1137.01,0,0,,175,0.6,0.43,polypropylene,,,0.75,56,cube,53.11,M4,chart_estimate,Jaglan_2025
254.38,152.63,,,645.34,1137.01,0,0,,175,0.6,0.43,polypropylene,,,0.75,90,cube,56.52,M4,chart_estimate,Jaglan_2025
203.5,203.5,,,641.11,1129.56,0,0,,175,0.6,0.43,polypropylene,,,1.0,7,cube,35.2,M5,chart_estimate,Jaglan_2025
203.5,203.5,,,641.11,1129.56,0,0,,175,0.6,0.43,polypropylene,,,1.0,28,cube,51.13,M5,chart_estimate,Jaglan_2025
203.5,203.5,,,641.11,1129.56,0,0,,175,0.6,0.43,polypropylene,,,1.0,56,cube,56.52,M5,chart_estimate,Jaglan_2025
203.5,203.5,,,641.11,1129.56,0,0,,175,0.6,0.43,polypropylene,,,1.0,90,cube,59.93,M5,chart_estimate,Jaglan_2025
407.0,0,,,655.61,866.33,250.45,25,,175,0.6,0.43,polypropylene,,,0.25,7,cube,30.71,M6,chart_estimate,Jaglan_2025
407.0,0,,,655.61,866.33,250.45,25,,175,0.6,0.43,polypropylene,,,0.25,28,cube,43.94,M6,chart_estimate,Jaglan_2025
407.0,0,,,655.61,866.33,250.45,25,,175,0.6,0.43,polypropylene,,,0.25,56,cube,48.37,M6,chart_estimate,Jaglan_2025
407.0,0,,,655.61,866.33,250.45,25,,175,0.6,0.43,polypropylene,,,0.25,90,cube,51.78,M6,chart_estimate,Jaglan_2025
356.13,50.88,,,651.38,860.74,248.84,25,,175,0.6,0.43,polypropylene,,,0.5,7,cube,32.63,M7,chart_estimate,Jaglan_2025
356.13,50.88,,,651.38,860.74,248.84,25,,175,0.6,0.43,polypropylene,,,0.5,28,cube,47.02,M7,chart_estimate,Jaglan_2025
356.13,50.88,,,651.38,860.74,248.84,25,,175,0.6,0.43,polypropylene,,,0.5,56,cube,51.93,M7,chart_estimate,Jaglan_2025
356.13,50.88,,,651.38,860.74,248.84,25,,175,0.6,0.43,polypropylene,,,0.5,90,cube,55.04,M7,chart_estimate,Jaglan_2025
305.25,101.75,,,647.16,855.16,247.22,25,,175,0.6,0.43,polypropylene,,,0.75,7,cube,34.82,M8,chart_estimate,Jaglan_2025
305.25,101.75,,,647.16,855.16,247.22,25,,175,0.6,0.43,polypropylene,,,0.75,28,cube,49.98,M8,chart_estimate,Jaglan_2025
305.25,101.75,,,647.16,855.16,247.22,25,,175,0.6,0.43,polypropylene,,,0.75,56,cube,55.33,M8,chart_estimate,Jaglan_2025
305.25,101.75,,,647.16,855.16,247.22,25,,175,0.6,0.43,polypropylene,,,0.75,90,cube,58.89,M8,chart_estimate,Jaglan_2025
254.38,152.63,,,642.93,849.57,245.61,25,,175,0.6,0.43,polypropylene,,,1.0,7,cube,36.87,M9,chart_estimate,Jaglan_2025
254.38,152.63,,,642.93,849.57,245.61,25,,175,0.6,0.43,polypropylene,,,1.0,28,cube,52.93,M9,chart_estimate,Jaglan_2025
254.38,152.63,,,642.93,849.57,245.61,25,,175,0.6,0.43,polypropylene,,,1.0,56,cube,58.74,M9,chart_estimate,Jaglan_2025
254.38,152.63,,,642.93,849.57,245.61,25,,175,0.6,0.43,polypropylene,,,1.0,90,cube,62.0,M9,chart_estimate,Jaglan_2025
203.5,203.5,,,650.74,859.89,248.59,25,,175,0.6,0.43,polypropylene,,,0.0,7,cube,30.58,M10,chart_estimate,Jaglan_2025
203.5,203.5,,,650.74,859.89,248.59,25,,175,0.6,0.43,polypropylene,,,0.0,28,cube,43.81,M10,chart_estimate,Jaglan_2025
203.5,203.5,,,650.74,859.89,248.59,25,,175,0.6,0.43,polypropylene,,,0.0,56,cube,48.96,M10,chart_estimate,Jaglan_2025
